-,-,-,1,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,2,-,-,1,-,-,-,2,6,-,-,-,2,5,-,1,5,5,-,-,1,-,-,-,-,7,29,10,1,-,-,1,-,-,-,-,-,-
-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,2,-,2,3,-,5,2,1,-,4,10,4,-,2,-,1,-,6,8,14,12,-,1,-,-,-,-,-,1,2,5,-,1,3,-,-,-,1,-,-,-
-,-,-,1,2,2,1,-,-,-,-,-,-,-,-,4,5,5,1,2,8,10,9,13,4,1,3,3,1,1,1,-,-,-,8,8,4,5,1,1,-,-,-,-,-,2,3,-,1,-,-,-,-,-,-,1,1
-,-,-,3,3,3,-,-,1,-,-,1,-,-,3,4,2,-,-,1,1,10,15,5,20,53,36,18,3,-,-,-,-,-,1,3,-,-,-,-,-,-,-,1,4,2,-,-,-,-,-,-,-,-,-,-,-
-,-,-,1,-,4,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,11,31,66,105,39,6,33,11,-,-,-,2,1,2,1,-,-,-,-,-,-,2,5,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,3,1,-,-,1,-,-,-,-,3,2,-,-,-,-,-,-,-,3,50,77,53,75,22,30,38,20,1,2,12,23,6,-,6,22,1,2,2,8,21,3,-,2,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,1,3,-,1,1,-,-,-,-,-,3,-,1,-,-,-,-,7,22,49,76,89,95,54,68,9,8,4,-,-,29,9,2,2,1,12,17,7,7,1,2,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,21,2,3,1,2,-,-,-,-,-,-,1,4,-,-,-,-,-,2,7,56,111,120,60,156,107,106,10,32,45,20,40,18,4,11,1,8,5,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,89,93,-,2,6,69,5,-,-,-,-,-,-,3,-,-,1,4,-,-,2,15,127,264,52,273,75,11,1,1,63,424,551,91,90,25,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,20,15,3,4,4,1,-,2,-,-,-,-,-,-,-,1,-,-,-,-,5,515,320,206,131,50,5,-,7,114,97,95,117,68,46,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
-,-,-,-,14,-,4,20,3,9,7,2,-,-,-,-,2,2,1,5,-,3,2,3,3,66,268,1130,116,-,-,-,2,42,198,70,37,7,6,9,6,-,-,-,-,-,-,-,-,-,-,-,2,4,2,1,-
-,-,-,-,-,-,1,5,1,-,21,31,4,1,1,-,1,6,13,26,27,54,18,11,4,7,8,80,44,-,-,-,13,43,94,85,10,2,2,-,-,5,1,-,-,-,1,2,2,7,1,1,-,-,-,-,-
-,-,-,-,-,-,-,1,15,23,37,66,39,16,5,3,4,18,30,41,8,4,1,-,1,-,-,-,34,6,11,2,12,19,252,76,106,150,-,-,1,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-
-,-,-,-,-,-,-,3,6,22,22,72,63,32,11,3,9,13,49,49,-,1,-,-,9,14,49,91,92,100,17,70,98,94,65,174,153,5,-,15,5,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,3,6,34,20,29,26,12,3,12,23,29,44,85,19,2,2,18,70,519,181,116,71,20,53,123,122,99,142,94,9,23,56,29,4,-,-,2,1,11,1,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,5,3,19,19,97,35,53,15,27,22,50,8,33,35,16,71,161,51,55,46,105,61,422,135,244,751,107,10,-,-,4,1,-,1,18,12,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,1,-,2,41,48,31,109,12,80,30,27,17,55,75,57,38,87,67,112,157,249,167,497,388,242,197,23,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,1,-,-,10,87,60,7,17,2,20,11,30,21,65,53,106,23,166,207,167,165,136,1,30,276,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,1,16,75,179,49,28,6,8,1,3,3,-,3,57,112,100,158,1054,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,1,1,1,1,19,28,46,19,6,-,-,-,-,-,-,-,-,6,25,64,511,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,3,5,-,21,24,13,18,-,-,-,-,-,-,-,-,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,1,-,2,10,40,18,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,3,6,5,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-